"","Deaths","month_year","month","time"
"153",NA,2011-09-01,2011 Sep,153
"154",11,2011-10-01,2011 Oct,154
"155",NA,2011-11-01,2011 Nov,155
"156",17,2011-12-01,2011 Dec,156
"157",10,2012-01-01,2012 Jan,157
"158",12,2012-02-01,2012 Feb,158
"159",14,2012-03-01,2012 Mar,159
"160",16,2012-04-01,2012 Apr,160
"161",13,2012-05-01,2012 May,161
"162",19,2012-06-01,2012 Jun,162
"163",16,2012-07-01,2012 Jul,163
"164",NA,2012-08-01,2012 Aug,164
"165",10,2012-09-01,2012 Sep,165
"166",13,2012-10-01,2012 Oct,166
"167",12,2012-11-01,2012 Nov,167
"168",17,2012-12-01,2012 Dec,168
"169",14,2013-01-01,2013 Jan,169
"170",14,2013-02-01,2013 Feb,170
"171",13,2013-03-01,2013 Mar,171
"172",11,2013-04-01,2013 Apr,172
"173",15,2013-05-01,2013 May,173
"174",15,2013-06-01,2013 Jun,174
"175",22,2013-07-01,2013 Jul,175
"176",20,2013-08-01,2013 Aug,176
"177",14,2013-09-01,2013 Sep,177
"178",15,2013-10-01,2013 Oct,178
"179",11,2013-11-01,2013 Nov,179
"180",12,2013-12-01,2013 Dec,180
"181",15,2014-01-01,2014 Jan,181
"182",11,2014-02-01,2014 Feb,182
"183",18,2014-03-01,2014 Mar,183
"184",18,2014-04-01,2014 Apr,184
"185",13,2014-05-01,2014 May,185
"186",22,2014-06-01,2014 Jun,186
"187",18,2014-07-01,2014 Jul,187
"188",14,2014-08-01,2014 Aug,188
"189",NA,2014-09-01,2014 Sep,189
"190",17,2014-10-01,2014 Oct,190
"191",18,2014-11-01,2014 Nov,191
"192",19,2014-12-01,2014 Dec,192
"193",19,2015-01-01,2015 Jan,193
"194",18,2015-02-01,2015 Feb,194
"195",13,2015-03-01,2015 Mar,195
"196",20,2015-04-01,2015 Apr,196
"197",20,2015-05-01,2015 May,197
"198",19,2015-06-01,2015 Jun,198
"199",14,2015-07-01,2015 Jul,199
"200",14,2015-08-01,2015 Aug,200
"201",12,2015-09-01,2015 Sep,201
"202",NA,2015-10-01,2015 Oct,202
"203",17,2015-11-01,2015 Nov,203
"204",16,2015-12-01,2015 Dec,204
"205",20,2016-01-01,2016 Jan,205
"206",NA,2016-02-01,2016 Feb,206
"207",20,2016-03-01,2016 Mar,207
"208",16,2016-04-01,2016 Apr,208
"209",18,2016-05-01,2016 May,209
"210",24,2016-06-01,2016 Jun,210
"211",21,2016-07-01,2016 Jul,211
"212",16,2016-08-01,2016 Aug,212
"213",22,2016-09-01,2016 Sep,213
"214",16,2016-10-01,2016 Oct,214
"215",15,2016-11-01,2016 Nov,215
"216",21,2016-12-01,2016 Dec,216
"217",19,2017-01-01,2017 Jan,217
"218",21,2017-02-01,2017 Feb,218
"219",19,2017-03-01,2017 Mar,219
"220",16,2017-04-01,2017 Apr,220
"221",NA,2017-05-01,2017 May,221
"222",12,2017-06-01,2017 Jun,222
"223",10,2017-07-01,2017 Jul,223
"224",13,2017-08-01,2017 Aug,224
"225",19,2017-09-01,2017 Sep,225
"226",21,2017-10-01,2017 Oct,226
"227",23,2017-11-01,2017 Nov,227
"228",25,2017-12-01,2017 Dec,228
"229",16,2018-01-01,2018 Jan,229
"230",16,2018-02-01,2018 Feb,230
"231",17,2018-03-01,2018 Mar,231
"232",26,2018-04-01,2018 Apr,232
"233",17,2018-05-01,2018 May,233
"234",11,2018-06-01,2018 Jun,234
"235",19,2018-07-01,2018 Jul,235
"236",20,2018-08-01,2018 Aug,236
"237",23,2018-09-01,2018 Sep,237
"238",15,2018-10-01,2018 Oct,238
"239",21,2018-11-01,2018 Nov,239
"240",22,2018-12-01,2018 Dec,240
"241",10,2019-01-01,2019 Jan,241
"242",24,2019-02-01,2019 Feb,242
"243",23,2019-03-01,2019 Mar,243
"244",16,2019-04-01,2019 Apr,244
"245",NA,2019-05-01,2019 May,245
"246",13,2019-06-01,2019 Jun,246
"247",22,2019-07-01,2019 Jul,247
"248",21,2019-08-01,2019 Aug,248
"249",NA,2019-09-01,2019 Sep,249
"250",10,2019-10-01,2019 Oct,250
"251",12,2019-11-01,2019 Nov,251
"252",22,2019-12-01,2019 Dec,252
"253",21,2020-01-01,2020 Jan,253
"254",16,2020-02-01,2020 Feb,254
"255",19,2020-03-01,2020 Mar,255
"256",23,2020-04-01,2020 Apr,256
"257",23,2020-05-01,2020 May,257
"258",23,2020-06-01,2020 Jun,258
"259",24,2020-07-01,2020 Jul,259
"260",32,2020-08-01,2020 Aug,260
"261",23,2020-09-01,2020 Sep,261
"262",27,2020-10-01,2020 Oct,262
"263",24,2020-11-01,2020 Nov,263
"264",23,2020-12-01,2020 Dec,264
"265",19,2021-01-01,2021 Jan,265
