"","Deaths","month_year","month","time"
"153",47,2011-09-01,2011 Sep,153
"154",58,2011-10-01,2011 Oct,154
"155",59,2011-11-01,2011 Nov,155
"156",61,2011-12-01,2011 Dec,156
"157",48,2012-01-01,2012 Jan,157
"158",49,2012-02-01,2012 Feb,158
"159",69,2012-03-01,2012 Mar,159
"160",51,2012-04-01,2012 Apr,160
"161",70,2012-05-01,2012 May,161
"162",65,2012-06-01,2012 Jun,162
"163",73,2012-07-01,2012 Jul,163
"164",63,2012-08-01,2012 Aug,164
"165",59,2012-09-01,2012 Sep,165
"166",68,2012-10-01,2012 Oct,166
"167",71,2012-11-01,2012 Nov,167
"168",65,2012-12-01,2012 Dec,168
"169",63,2013-01-01,2013 Jan,169
"170",53,2013-02-01,2013 Feb,170
"171",53,2013-03-01,2013 Mar,171
"172",45,2013-04-01,2013 Apr,172
"173",55,2013-05-01,2013 May,173
"174",81,2013-06-01,2013 Jun,174
"175",73,2013-07-01,2013 Jul,175
"176",63,2013-08-01,2013 Aug,176
"177",61,2013-09-01,2013 Sep,177
"178",54,2013-10-01,2013 Oct,178
"179",63,2013-11-01,2013 Nov,179
"180",58,2013-12-01,2013 Dec,180
"181",63,2014-01-01,2014 Jan,181
"182",49,2014-02-01,2014 Feb,182
"183",59,2014-03-01,2014 Mar,183
"184",55,2014-04-01,2014 Apr,184
"185",59,2014-05-01,2014 May,185
"186",66,2014-06-01,2014 Jun,186
"187",61,2014-07-01,2014 Jul,187
"188",79,2014-08-01,2014 Aug,188
"189",53,2014-09-01,2014 Sep,189
"190",64,2014-10-01,2014 Oct,190
"191",69,2014-11-01,2014 Nov,191
"192",75,2014-12-01,2014 Dec,192
"193",79,2015-01-01,2015 Jan,193
"194",53,2015-02-01,2015 Feb,194
"195",66,2015-03-01,2015 Mar,195
"196",66,2015-04-01,2015 Apr,196
"197",84,2015-05-01,2015 May,197
"198",70,2015-06-01,2015 Jun,198
"199",77,2015-07-01,2015 Jul,199
"200",75,2015-08-01,2015 Aug,200
"201",73,2015-09-01,2015 Sep,201
"202",64,2015-10-01,2015 Oct,202
"203",81,2015-11-01,2015 Nov,203
"204",79,2015-12-01,2015 Dec,204
"205",69,2016-01-01,2016 Jan,205
"206",68,2016-02-01,2016 Feb,206
"207",91,2016-03-01,2016 Mar,207
"208",68,2016-04-01,2016 Apr,208
"209",91,2016-05-01,2016 May,209
"210",77,2016-06-01,2016 Jun,210
"211",94,2016-07-01,2016 Jul,211
"212",75,2016-08-01,2016 Aug,212
"213",91,2016-09-01,2016 Sep,213
"214",90,2016-10-01,2016 Oct,214
"215",69,2016-11-01,2016 Nov,215
"216",76,2016-12-01,2016 Dec,216
"217",97,2017-01-01,2017 Jan,217
"218",69,2017-02-01,2017 Feb,218
"219",79,2017-03-01,2017 Mar,219
"220",59,2017-04-01,2017 Apr,220
"221",90,2017-05-01,2017 May,221
"222",55,2017-06-01,2017 Jun,222
"223",81,2017-07-01,2017 Jul,223
"224",72,2017-08-01,2017 Aug,224
"225",68,2017-09-01,2017 Sep,225
"226",79,2017-10-01,2017 Oct,226
"227",81,2017-11-01,2017 Nov,227
"228",71,2017-12-01,2017 Dec,228
"229",89,2018-01-01,2018 Jan,229
"230",53,2018-02-01,2018 Feb,230
"231",90,2018-03-01,2018 Mar,231
"232",71,2018-04-01,2018 Apr,232
"233",63,2018-05-01,2018 May,233
"234",82,2018-06-01,2018 Jun,234
"235",78,2018-07-01,2018 Jul,235
"236",71,2018-08-01,2018 Aug,236
"237",70,2018-09-01,2018 Sep,237
"238",57,2018-10-01,2018 Oct,238
"239",61,2018-11-01,2018 Nov,239
"240",64,2018-12-01,2018 Dec,240
"241",73,2019-01-01,2019 Jan,241
"242",74,2019-02-01,2019 Feb,242
"243",82,2019-03-01,2019 Mar,243
"244",65,2019-04-01,2019 Apr,244
"245",98,2019-05-01,2019 May,245
"246",80,2019-06-01,2019 Jun,246
"247",67,2019-07-01,2019 Jul,247
"248",77,2019-08-01,2019 Aug,248
"249",89,2019-09-01,2019 Sep,249
"250",81,2019-10-01,2019 Oct,250
"251",95,2019-11-01,2019 Nov,251
"252",103,2019-12-01,2019 Dec,252
"253",104,2020-01-01,2020 Jan,253
"254",75,2020-02-01,2020 Feb,254
"255",94,2020-03-01,2020 Mar,255
"256",95,2020-04-01,2020 Apr,256
"257",107,2020-05-01,2020 May,257
"258",102,2020-06-01,2020 Jun,258
"259",108,2020-07-01,2020 Jul,259
"260",113,2020-08-01,2020 Aug,260
"261",100,2020-09-01,2020 Sep,261
"262",135,2020-10-01,2020 Oct,262
"263",136,2020-11-01,2020 Nov,263
"264",137,2020-12-01,2020 Dec,264
"265",127,2021-01-01,2021 Jan,265
"266",99,2021-02-01,2021 Feb,266
"267",104,2021-03-01,2021 Mar,267
"268",124,2021-04-01,2021 Apr,268
"269",137,2021-05-01,2021 May,269
"270",131,2021-06-01,2021 Jun,270
"271",119,2021-07-01,2021 Jul,271
"272",119,2021-08-01,2021 Aug,272
"273",136,2021-09-01,2021 Sep,273
"274",135,2021-10-01,2021 Oct,274
"275",115,2021-11-01,2021 Nov,275
"276",136,2021-12-01,2021 Dec,276
"277",134,2022-01-01,2022 Jan,277
"278",109,2022-02-01,2022 Feb,278
"279",99,2022-03-01,2022 Mar,279
"280",99,2022-04-01,2022 Apr,280
"281",127,2022-05-01,2022 May,281
"282",122,2022-06-01,2022 Jun,282
"283",104,2022-07-01,2022 Jul,283
"284",106,2022-08-01,2022 Aug,284
"285",105,2022-09-01,2022 Sep,285
"286",92,2022-10-01,2022 Oct,286
"287",88,2022-11-01,2022 Nov,287
"288",101,2022-12-01,2022 Dec,288
"289",126,2023-01-01,2023 Jan,289
"290",80,2023-02-01,2023 Feb,290
"291",95,2023-03-01,2023 Mar,291
"292",107,2023-04-01,2023 Apr,292
"293",120,2023-05-01,2023 May,293
"294",89,2023-06-01,2023 Jun,294
"295",116,2023-07-01,2023 Jul,295
"296",98,2023-08-01,2023 Aug,296
"297",103,2023-09-01,2023 Sep,297
"298",99,2023-10-01,2023 Oct,298
"299",86,2023-11-01,2023 Nov,299
"300",101,2023-12-01,2023 Dec,300
"301",89,2024-01-01,2024 Jan,301
